호선명,역ID,지하철역,07:00:00~07:59:59,,08:00:00~08:59:59,
,,,승차,하차,승차,하차
1호선,0150,서울역,43763,112497,74004,237172
1호선,0151,시청,8529,75421,11367,210492
1호선,0152,종각,6671,114672,11140,285466
1호선,0153,종로3가,5610,27245,9700,76204
1호선,0154,종로5가,6502,43928,10619,106094
1호선,0155,동대문,15728,12835,20970,22752
1호선,0156,신설동,22348,25354,33819,60619
1호선,0157,제기동,24377,20337,34956,40803
1호선,0158,청량리(서울시립대입구),40847,18163,49664,38941
1호선,0159,동묘앞,7749,10452,11678,24126
2호선,0201,시청,5601,71492,9428,229115
2호선,0202,을지로입구,11186,134019,20488,355132
2호선,0203,을지로3가,6189,74300,12956,190846
2호선,0204,을지로4가,5451,36163,10994,85337
2호선,0205,동대문역사문화공원(DDP),7870,25408,14291,52796
2호선,0206,신당,31928,17733,52869,34928
2호선,0207,상왕십리,44187,13768,72753,35188
2호선,0208,왕십리(성동구청),27227,15266,49379,30884
2호선,0209,한양대,5992,13730,9069,83759
2호선,0210,뚝섬,19596,40726,26890,144373
2호선,0211,성수,24933,79002,33732,287267
2호선,0212,건대입구,57081,26535,99906,72364
2호선,0213,구의(광진구청),73086,16739,125237,41532
2호선,0214,강변(동서울터미널),84449,23122,127375,43433
2호선,0215,잠실나루,42875,24475,52132,41126
2호선,0216,잠실(송파구청),130053,84446,182519,181408
2호선,0217,잠실새내,63728,18729,89277,29545
2호선,0218,종합운동장,18731,18447,25340,28583
2호선,0219,삼성(무역센터),15252,148514,21211,365642
2호선,0220,선릉,22886,122275,36064,302906
2호선,0221,역삼,16938,159154,28164,398023
2호선,0222,강남,41961,161569,68731,316742
2호선,0223,교대(법원.검찰청),29251,62786,41353,169163
2호선,0224,서초,19903,54221,31016,120990
2호선,0225,방배,24623,29081,34861,89603
2호선,0226,사당,80836,51583,105808,75783
2호선,0227,낙성대(강감찬),90443,23817,136581,46134
2호선,0228,서울대입구(관악구청),137266,31285,188720,78776
2호선,0229,봉천,90129,13495,129625,25889
2호선,0230,신림,203085,29227,294603,46762
2호선,0231,신대방,96932,16586,143556,27817
2호선,0232,구로디지털단지,151275,83814,201815,246837
2호선,0233,대림(구로구청),72203,24304,98591,60516
2호선,0234,신도림,152128,44627,157768,121016
2호선,0235,문래,47917,38660,53449,138689
2호선,0236,영등포구청,42619,39465,51411,129987
2호선,0237,당산,49410,32046,63072,87392
2호선,0238,합정,46083,34824,59565,104386
2호선,0239,홍대입구,67590,40835,88394,115078
2호선,0240,신촌,39439,39490,59105,101225
2호선,0241,이대,29747,16695,40328,51002
2호선,0242,아현,32330,13863,45389,25164
2호선,0243,충정로(경기대입구),17604,25251,23984,67502
2호선,0244,용답,9464,1921,14708,4581
2호선,0245,신답,7000,998,12169,1860
2호선,0246,신설동,4989,5547,9659,14829
2호선,0247,도림천,3663,4694,3908,5980
2호선,0248,양천구청,37674,5138,33621,10583
2호선,0249,신정네거리,55358,5205,49867,12323
2호선,0250,용두(동대문구청),5483,2637,10068,6155
3호선,0309,지축,30535,6219,29195,9207
3호선,0310,구파발,95734,24536,86664,32204
3호선,0311,연신내,133964,25289,152561,37554
3호선,0312,불광,56678,12075,67012,34457
3호선,0313,녹번,80056,7830,84471,18941
3호선,0314,홍제,72949,11894,76359,28040
3호선,0315,무악재,19290,3050,21411,6255
3호선,0316,독립문,16811,16598,19690,21130
3호선,0317,경복궁(정부서울청사),15350,47097,21559,140731
3호선,0318,안국,6637,96759,10763,127260
3호선,0319,종로3가,1685,16696,3098,48566
3호선,0320,을지로3가,2775,36425,5758,88121
3호선,0321,충무로,1,0,0,0
3호선,0322,동대입구,6364,17231,8649,65474
3호선,0323,약수,28860,18113,41131,34804
3호선,0324,금호,29563,4284,40254,8811
3호선,0325,옥수,26139,9377,33556,14710
3호선,0326,압구정,17415,51215,27669,160173
3호선,0327,신사,12437,46696,18771,107473
3호선,0328,잠원,13647,6939,19172,9674
3호선,0329,고속터미널,28216,50783,48451,76495
3호선,0330,교대(법원.검찰청),10082,22743,14732,53446
3호선,0331,남부터미널(예술의전당),33403,67126,48035,166573
3호선,0332,양재(서초구청),38053,114569,48946,253997
3호선,0333,매봉,19338,24629,23638,78573
3호선,0334,도곡,10421,15798,13041,21600
3호선,0335,대치,30466,20606,30802,28262
3호선,0336,학여울,4940,3738,5614,9962
3호선,0337,대청,32593,20933,37830,29700
3호선,0338,일원,27672,36745,26353,26759
3호선,0339,수서,38146,39804,49843,58389
3호선,0340,가락시장,22601,13237,23757,30629
3호선,0341,경찰병원,25304,8896,28721,30466
3호선,0342,오금,30574,6962,32817,14534
4호선,0409,당고개,44327,5533,39687,11131
4호선,0410,상계,94543,20890,81098,22030
4호선,0411,노원,56428,15414,59660,32905
4호선,0412,창동,94146,20836,86395,39755
4호선,0413,쌍문,137926,15529,137134,28882
4호선,0414,수유(강북구청),124584,21850,132440,60020
4호선,0415,미아(서울사이버대학),50130,19693,55278,41361
4호선,0416,미아사거리,101739,20577,106101,33953
4호선,0417,길음,97174,15911,93492,40953
4호선,0418,성신여대입구(돈암),51024,18120,56351,50521
4호선,0419,한성대입구(삼선교),33369,20409,39270,37451
4호선,0420,혜화,18387,54177,22897,132304
4호선,0421,동대문,5473,36512,8034,75574
4호선,0422,동대문역사문화공원(DDP),8782,29080,13751,70432
4호선,0423,충무로,10968,60190,17942,194966
4호선,0424,명동,7618,55598,16131,135110
4호선,0425,회현(남대문시장),5378,56338,9074,147795
4호선,0426,서울역,13767,42325,17084,90361
4호선,0427,숙대입구(갈월),19665,25750,28606,60516
4호선,0428,삼각지,7961,13526,11069,21984
4호선,0429,신용산,13313,37655,18553,98641
4호선,0430,이촌(국립중앙박물관),14418,15046,18111,30262
4호선,0431,동작(현충원),2083,3425,2677,5410
4호선,0432,총신대입구(이수),52496,19735,64327,46106
4호선,0433,사당,76775,28417,86886,40810
4호선,0434,남태령,2559,5208,4472,6288
경부선,1001,서울역,11861,6106,21963,6553
경부선,1002,남영,14625,27959,21480,60493
경부선,1003,용산,22339,83115,35263,164381
경부선,1004,노량진,19331,9220,26893,16445
경부선,1005,대방,29080,33044,36135,47271
경부선,1006,영등포,44398,64423,60699,137861
경부선,1007,신도림,10066,7007,11390,16457
경부선,1032,신길,27433,19654,35666,30619
경부선,1701,구로,41436,33479,40097,77222
경부선,1702,가산디지털단지,17074,61012,16635,162958
경부선,1703,금천구청,51778,16089,47776,31382
경부선,1704,석수,42127,13153,39732,16934
경부선,1705,관악,38880,6999,35824,11810
경부선,1706,안양,94370,24052,84565,63797
경부선,1707,명학,28696,27148,24639,66110
경부선,1708,금정,103283,46807,102891,97313
경부선,1709,군포,20675,34345,20545,47296
경부선,1710,의왕,32002,32734,32256,34071
경부선,1711,성균관대,77873,11022,62760,31741
경부선,1712,화서,49459,6741,38774,12031
경부선,1713,수원,83497,59814,81296,90919
경부선,1714,독산,53295,50324,49350,110352
경부선,1715,세류,17427,4570,11902,3986
경부선,1716,병점,62783,22733,52032,41233
경부선,1717,세마,12360,4790,10990,11026
경부선,1718,오산대,15517,4025,12386,13853
경부선,1719,오산,31125,29059,31520,22990
경부선,1720,진위,3343,9946,3253,9837
경부선,1721,송탄,14761,7477,13744,9478
경부선,1722,서정리,19613,19778,18637,25814
경부선,1723,평택지제,13000,15167,11102,8713
경부선,1724,평택,34315,18024,34424,32317
경부선,1725,성환,7462,13130,7192,27450
경부선,1726,직산,2317,3304,2172,4031
경부선,1727,두정,20242,13700,18955,30612
경부선,1728,천안,13008,7400,11873,19000
경부선,1729,당정,28659,9529,27316,19430
경부선,1749,서동탄,11454,1716,4207,1477
경부선,1750,광명,13086,6895,11312,7609
경인선,1801,개봉,105387,15562,96243,24252
경인선,1802,오류동,55369,5700,55415,12037
경인선,1803,역곡,128743,15001,124172,44070
경인선,1804,부천,114575,19503,112953,56121
경인선,1805,송내,120100,32067,99462,83259
경인선,1806,부평,90462,21450,84967,34825
경인선,1807,백운,30457,4911,27679,9739
경인선,1808,동암,68419,13964,64727,17534
경인선,1809,주안,67161,20296,61744,33308
경인선,1810,제물포,42324,15897,36828,38397
경인선,1811,동인천,46600,24963,37088,35840
경인선,1812,인천,6490,6744,5773,9254
경인선,1813,구일,29997,10100,26125,17785
경인선,1814,소사,33005,8726,29867,15384
경인선,1815,부개,45580,6463,37604,11381
경인선,1816,간석,26831,4820,21546,10406
경인선,1817,도원,8540,7868,7784,23554
경인선,1821,온수(성공회대입구),25335,11103,22832,15885
경인선,1822,중동,48549,5445,38605,13284
경인선,1823,도화,18350,4441,15599,7244
경원선,1008,이촌(국립중앙박물관),9398,4853,10556,9262
경원선,1009,서빙고,3490,5164,4221,9730
경원선,1010,한남,4734,11722,5891,15278
경원선,1011,옥수,66,37,114,271
경원선,1012,응봉,8510,1765,8663,2790
경원선,1013,왕십리(성동구청),29230,13344,45398,25671
경원선,1014,청량리(서울시립대입구),29875,17252,46324,27313
경원선,1016,외대앞,21098,5387,24880,34165
경원선,1017,신이문,39127,4378,42433,8646
경원선,1018,석계,25845,5498,30034,10352
경원선,1019,광운대,32895,6678,30116,27757
경원선,1020,월계,28346,9058,25926,17799
경원선,1021,녹천,23317,5556,21399,5422
경원선,1022,창동,0,0,3,0
경원선,1901,방학,38606,10052,33779,21644
경원선,1902,도봉,21692,4303,19587,10517
경원선,1903,도봉산,23162,4570,22498,8955
경원선,1904,망월사,30818,5296,29640,28862
경원선,1905,회룡,62436,8944,52743,13398
경원선,1906,의정부,55176,13833,52141,37096
경원선,1907,가능,27131,8025,24145,16857
경원선,1908,녹양,19849,5567,17005,9973
경원선,1909,양주,33843,11163,27023,12377
경원선,1910,덕계,19890,4359,17658,7242
경원선,1911,덕정,20316,10611,20793,20937
경원선,1912,지행,24707,6086,25468,13757
경원선,1913,동두천중앙,9006,4364,9437,10729
경원선,1914,보산,4648,3039,4145,2942
경원선,1915,동두천,5555,7531,6983,8241
경원선,1916,소요산,3364,2082,5169,3587
안산선,1751,산본,61750,15976,57835,31492
안산선,1752,대야미,20398,5835,21942,9044
안산선,1753,반월,19052,4151,17544,8460
안산선,1754,상록수,73061,14131,69111,24797
안산선,1755,한대앞,34746,9361,29848,28977
안산선,1756,중앙,64578,18276,55249,40585
안산선,1757,고잔,34130,14194,26622,29662
안산선,1758,초지,25424,9385,19526,12112
안산선,1759,안산,23646,41091,24250,35904
안산선,1760,신길온천,8757,3584,7206,2855
안산선,1761,정왕,22348,26631,20021,42695
안산선,1762,오이도,36590,12828,29600,14692
안산선,1763,수리산,20160,4766,19356,7705
과천선,1450,선바위,18791,21344,20451,29431
과천선,1451,경마공원,2200,4224,2673,11734
과천선,1452,대공원,713,4582,1068,10763
과천선,1453,과천,31823,5401,28077,9298
과천선,1454,정부과천청사,22781,28434,20722,81147
과천선,1455,인덕원,87060,44743,75129,109417
과천선,1456,평촌,66753,36964,51067,94159
과천선,1457,범계,103913,25018,84311,64778
분당선,1023,선릉,5990,46476,7823,145980
분당선,1024,한티,26205,31578,32011,51910
분당선,1025,도곡,11679,16701,17063,26198
분당선,1026,구룡,4764,12248,6517,6495
분당선,1027,개포동,12217,7643,13722,11450
분당선,1028,대모산입구,21805,6558,22632,11985
분당선,1030,수서,27880,30456,43634,49048
분당선,1031,복정,0,0,0,0
분당선,1846,수원,26685,10167,26904,16128
분당선,1847,서울숲,13858,25512,24277,48781
분당선,1848,압구정로데오,6272,27552,9360,82597
분당선,1849,강남구청,8495,16708,11564,59132
분당선,1850,선정릉,5280,13934,7914,53729
분당선,1851,가천대,20157,7652,27354,50552
분당선,1852,태평,45883,8663,66159,18813
분당선,1853,모란,58877,24908,72820,39314
분당선,1854,야탑,61238,44913,68072,106258
분당선,1855,서현,40609,35972,45848,89653
분당선,1856,수내,20539,27494,27153,65691
분당선,1857,정자,33413,46308,37877,85921
분당선,1858,미금,29535,22695,35056,48007
분당선,1859,오리,32951,16026,36265,36973
분당선,1860,이매,17178,13443,17931,17067
분당선,1861,보정,10408,3194,11242,7910
분당선,1862,죽전,48066,18459,44161,36479
분당선,1863,구성,24063,4672,24615,9069
분당선,1864,신갈,22458,2756,22804,7154
분당선,1865,기흥,42539,14333,43329,34389
분당선,1866,상갈,22983,7459,25495,11460
분당선,1867,청명,21783,6034,21117,11252
분당선,1868,영통,20531,11327,23723,29544
분당선,1869,망포,65956,26571,61764,45499
분당선,1870,매탄권선,25488,5253,24326,15563
분당선,1871,수원시청,34301,18970,35579,53235
분당선,1872,매교,21624,5456,21878,16091
일산선,1948,원흥,52808,7057,55548,17448
일산선,1949,지축,2,0,1,0
일산선,1950,삼송,89780,18452,85596,32099
일산선,1951,원당,48882,8643,49863,13858
일산선,1952,화정,59131,12962,59366,33401
일산선,1953,대곡,10328,3004,9343,3500
일산선,1954,백석,24227,13456,25347,27390
일산선,1955,마두,17458,8074,18538,22852
일산선,1956,정발산,9269,6288,10607,21772
일산선,1957,주엽,30056,7390,30407,15735
일산선,1958,대화,69393,14583,50363,19321
중앙선,1015,회기,62474,33412,84226,77074
중앙선,1201,중랑,25499,3182,23546,6598
중앙선,1202,상봉(시외버스터미널),23899,5113,26734,8005
중앙선,1203,망우,33401,6137,27725,15402
중앙선,1204,양원,15546,9625,11634,6774
중앙선,1205,구리,64955,9617,55692,20769
중앙선,1206,도농,68821,9443,47931,17336
중앙선,1207,양정,1772,1785,1499,2277
중앙선,1208,덕소,27350,3509,22403,7635
중앙선,1209,도심,14923,1760,9552,6767
중앙선,1210,팔당,1697,1641,1291,3331
중앙선,1211,운길산,1703,589,2066,1288
중앙선,1212,양수,7196,2078,4870,3933
중앙선,1213,신원,537,578,373,386
중앙선,1214,국수,2797,727,2093,2176
중앙선,1215,아신,1997,477,1636,1147
중앙선,1216,오빈,861,334,1148,842
중앙선,1217,양평,9301,3926,6773,8173
중앙선,1218,원덕,1002,407,1207,563
중앙선,1219,용문,4278,2906,4850,3426
중앙선,1220,지평,352,238,204,250
장항선,1401,봉명,2549,3791,3098,4530
장항선,1402,쌍용(나사렛대),7688,1737,9587,9659
장항선,1403,아산,7977,6215,9988,11557
장항선,1404,탕정,4725,2046,4272,3248
장항선,1405,배방,4288,1449,3966,2192
장항선,1407,온양온천,10619,6425,12849,8919
장항선,1408,신창(순천향대),2548,3667,2142,14549
경의선,1252,신촌,748,4902,550,6283
경의선,1261,효창공원앞,5735,6750,8456,19566
경의선,1263,서강대,3673,3065,4235,11237
경의선,1265,가좌,25854,4617,29516,12041
경의선,1267,수색,3784,6044,5003,20169
경의선,1268,화전,4780,2134,5160,11193
경의선,1269,강매,21836,1348,19612,4026
